crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
99.363,74.3,53.254,4.875,85,23,3,12.5,5,61.7,3,4
26.924,21.3,12.172,0,39,16,2,12,4,50.6,6,4
26.924,21.3,12.172,0,42,16,2,12,4,50.6,6,4
26.924,21.3,12.172,0,39,16,2,12,4,50.6,6,4
26.924,21.3,12.172,0,39,16,2,12,4,50.6,6,4
26.924,21.3,12.172,0,44,16,2,12,4,50.6,6,4
42.315,0,35.785,3.751,108,30,7,12.5,3,27.2,5,2
42.315,0,35.785,3.751,108,30,7,12.5,3,27.2,5,2
42.315,0,35.785,3.751,108,30,7,12.5,3,27.2,5,2
66.076,45.9,45.36,54.686,85,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,64,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,64,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,85,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,85,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,85,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,64,33,7,12.5,0,69.9,2,0
66.076,45.9,45.36,54.686,85,33,7,12.5,0,69.9,2,0
191.3,154.6,99.131,13.633,92,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,102,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,92,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,92,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,102,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,92,46,11,12,0,136.2,2,0
191.3,154.6,99.131,13.633,102,46,11,12,0,136.2,2,0
145.323,108,71.732,16.845,85,45,11,13.5,2,62.7,2,5
145.323,108,71.732,16.845,85,45,11,13.5,2,62.7,2,5
145.323,108,71.732,16.845,85,45,11,13.5,2,62.7,2,5
70.291,0,35.547,0,197,23,5,12,1,38.6,11,2
67.93,48.8,47.803,0,85,28,6,12,15,44.1,7,20
102.809,90.5,47.13,3.486,89,27,5,12,1,58.2,2,1
102.809,90.5,47.13,3.486,50,27,5,12,1,58.2,2,1
102.809,90.5,47.13,3.486,50,27,5,12,1,58.2,2,1
94.1,79.3,54.671,6.989,85,61,18,14.5,2,122.9,1,0
94.1,79.3,54.671,6.989,115,61,18,14.5,2,122.9,1,0
94.1,79.3,54.671,6.989,115,61,18,14.5,2,122.9,1,0
94.1,79.3,54.671,6.989,85,61,18,14.5,2,122.9,1,0
94.1,79.3,54.671,6.989,85,61,18,14.5,2,122.9,1,0
94.1,79.3,54.671,6.989,85,61,18,14.5,2,122.9,1,0
37.53,32,20.746,4.316,85,61,18,14.5,6,123.3,1,1
37.53,32,20.746,4.316,85,61,18,14.5,6,123.3,1,1
65.452,42.1,39.375,0,85,61,18,14.5,4,161.3,1,0
65.452,42.1,39.375,0,85,61,18,14.5,4,161.3,1,0
65.452,42.1,39.375,0,85,61,18,14.5,4,161.3,1,0
112.366,110,58.114,0,85,61,18,14.5,11,124.3,1,0
112.366,110,58.114,0,85,61,18,14.5,11,124.3,1,0
